"Table 252-0051 Incident-based crime statistics, by detailed violations, annual (number unless otherwise noted)(1,2,3,54)"
Survey or program details:
Uniform Crime Reporting Survey - 3302
"Geography (3,47)",Violations,Statistics,2011,2012,2013,2014,2015
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1509.76,1570.35,1456.31,1424.55,1437.49
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Total, adult charged",2088,2171,1963,1937,1928
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1512.22,1563.29,1408.73,1387.51,1382.55
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Total, youth charged (39,40)",156,167,206,184,204
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1477.55,1668.33,2147.40,1981.48,2301.96
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Total, youth not charged (39,40)",418,294,276,266,232
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3959.08,2937.06,2877.10,2864.53,2617.92
"Québec, Quebec","Total, all violations [0] ",Actual incidents,31857,31879,30766,28664,28361
"Québec, Quebec","Total, all violations [0] ","Rate per 100,000 population",4129.54,4089.66,3906.35,3606.94,3545.29
"Québec, Quebec","Total, all violations [0] ",Percentage change in rate (22),-6.61,-0.97,-4.48,-7.66,-1.71
"Québec, Quebec","Total, all violations [0] ",Total cleared,15625,14684,13689,12483,12271
"Québec, Quebec","Total, all violations [0] ",Cleared by charge,9642,10509,9891,8942,9137
"Québec, Quebec","Total, all violations [0] ",Cleared otherwise,5983,4175,3798,3541,3134
"Québec, Quebec","Total, all violations [0] ","Total, persons charged (23)",8918,10009,9281,8372,8697
"Québec, Quebec","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1302.92,1449.19,1332.58,1193.12,1232.79
"Québec, Quebec","Total, all violations [0] ","Total, adult charged",7793,8781,8274,7575,7921
"Québec, Quebec","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1221.75,1359.73,1266.86,1148.39,1193.87
"Québec, Quebec","Total, all violations [0] ","Total, youth charged (39,40)",1125,1228,1007,797,776
"Québec, Quebec","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2413.65,2736.73,2322.63,1894.33,1847.66
"Québec, Quebec","Total, all violations [0] ","Total, youth not charged (39,40)",1924,1020,885,693,656
"Québec, Quebec","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4127.87,2273.18,2041.24,1647.14,1561.94
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ",Actual incidents,9745,10340,9643,9160,8512
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Rate per 100,000 population",5125.17,5364.41,4944.22,4635.02,4279.95
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ",Percentage change in rate (22),-7.89,4.67,-7.83,-6.25,-7.66
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ",Total cleared,5160,5887,5567,4989,4892
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ",Cleared by charge,3709,4170,4088,3730,3945
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ",Cleared otherwise,1451,1717,1479,1259,947
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Total, persons charged (23)",3398,3887,3707,3564,3822
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2025.10,2286.61,2156.39,2047.93,2183.91
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Total, adult charged",3144,3592,3358,3270,3558
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2024.72,2276.83,2099.13,2013.46,2177.53
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Total, youth charged (39,40)",254,295,349,294,264
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2029.89,2412.69,2923.68,2529.69,2273.71
