"Table 252-0051 Incident-based crime statistics, by detailed violations, annual (number unless otherwise noted)(1,2,3,54)"
Survey or program details:
Uniform Crime Reporting Survey - 3302
"Geography (3,47)",Violations,Statistics,2011,2012,2013,2014,2015
Manitoba,"Total, all violations [0] ","Total, adult charged",27949,29717,27847,26437,26797
Manitoba,"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2948.40,3084.74,2847.50,2666.85,2673.34
Manitoba,"Total, all violations [0] ","Total, youth charged (39,40)",5539,5607,5004,4361,4439
Manitoba,"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",5478.03,5572.06,5040.29,4435.79,4539.97
Manitoba,"Total, all violations [0] ","Total, youth not charged (39,40)",4913,4723,4326,4133,4175
Manitoba,"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4858.92,4693.57,4357.37,4203.88,4269.96
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ",Actual incidents,53482,52771,45938,45280,48815
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Rate per 100,000 population",6894.28,6673.66,5729.68,5727.14,6041.25
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ",Percentage change in rate (22),-12.78,-3.20,-14.14,-0.04,5.48
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ",Total cleared,18586,19222,17945,17648,18432
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ",Cleared by charge,16241,16988,15956,15661,16039
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ",Cleared otherwise,2345,2234,1989,1987,2393
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Total, persons charged (23)",15449,16085,15067,14700,15195
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2299.12,2347.38,2166.75,2144.85,2169.73
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Total, adult charged",12992,13602,12906,12757,13144
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2121.54,2174.18,2027.12,2028.06,2041.58
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Total, youth charged (39,40)",2457,2483,2161,1943,2051
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",4124.77,4164.78,3681.05,3448.83,3629.83
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Total, youth not charged (39,40)",929,985,669,639,758
"Winnipeg, Manitoba (9,10,47)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",1559.59,1652.16,1139.58,1134.23,1341.50
Saskatchewan (11),"Total, all violations [0] ",Actual incidents,150574,147209,138600,136028,144047
Saskatchewan (11),"Total, all violations [0] ","Rate per 100,000 population",14120.52,13539.91,12530.26,12120.65,12706.62
Saskatchewan (11),"Total, all violations [0] ",Percentage change in rate (22),-1.32,-4.11,-7.46,-3.27,4.83
Saskatchewan (11),"Total, all violations [0] ",Total cleared,89302,88662,80965,77453,77236
Saskatchewan (11),"Total, all violations [0] ",Cleared by charge,53546,54536,52952,52661,52743
Saskatchewan (11),"Total, all violations [0] ",Cleared otherwise,35756,34126,28013,24792,24493
Saskatchewan (11),"Total, all violations [0] ","Total, persons charged (23)",53494,54713,52989,52589,52654
Saskatchewan (11),"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",5902.70,5925.82,5647.43,5533.06,5496.84
Saskatchewan (11),"Total, all violations [0] ","Total, adult charged",44058,45995,45061,44881,45417
Saskatchewan (11),"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",5357.50,5477.62,5266.55,5170.08,5185.26
Saskatchewan (11),"Total, all violations [0] ","Total, youth charged (39,40)",9436,8718,7928,7708,7237
Saskatchewan (11),"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",11246.45,10427.11,9589.12,9358.91,8824.64
Saskatchewan (11),"Total, all violations [0] ","Total, youth not charged (39,40)",7370,6644,4994,4321,4330
Saskatchewan (11),"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",8784.06,7946.51,6040.37,5246.48,5279.91
"Regina, Saskatchewan","Total, all violations [0] ",Actual incidents,24182,23146,21621,21133,21855
"Regina, Saskatchewan","Total, all violations [0] ","Rate per 100,000 population",10951.45,10166.74,9258.06,8851.00,9004.42
"Regina, Saskatchewan","Total, all violations [0] ",Percentage change in rate (22),-3.25,-7.17,-8.94,-4.40,1.73
"Regina, Saskatchewan","Total, all violations [0] ",Total cleared,12713,12256,11596,10560,10752
"Regina, Saskatchewan","Total, all violations [0] ",Cleared by charge,10949,10557,10158,9416,9749
"Regina, Saskatchewan","Total, all violations [0] ",Cleared otherwise,1764,1699,1438,1144,1003
"Regina, Saskatchewan","Total, all violations [0] ","Total, persons charged (23)",10613,10346,9959,9198,9652
"Regina, Saskatchewan","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",5581.27,5284.80,4967.88,4496.90,4655.22
"Regina, Saskatchewan","Total, all violations [0] ","Total, adult charged",9147,8749,8495,8002,8394
"Regina, Saskatchewan","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",5248.06,4863.42,4598.93,4240.26,4384.53
"Regina, Saskatchewan","Total, all violations [0] ","Total, youth charged (39,40)",1466,1597,1464,1196,1258
"Regina, Saskatchewan","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",9242.80,10059.84,9294.65,7557.18,7916.43
"Regina, Saskatchewan","Total, all violations [0] ","Total, youth not charged (39,40)",729,720,489,404,394
"Regina, Saskatchewan","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4596.18,4535.43,3104.56,2552.76,2479.39
"Saskatoon, Saskatchewan","Total, all violations [0] ",Actual incidents,28536,26758,25968,27345,28327
"Saskatoon, Saskatchewan","Total, all violations [0] ","Rate per 100,000 population",10254.09,9268.61,8722.73,8957.64,9111.52
"Saskatoon, Saskatchewan","Total, all violations [0] ",Percentage change in rate (22),-0.53,-9.61,-5.89,2.69,1.72
"Saskatoon, Saskatchewan","Total, all violations [0] ",Total cleared,13798,13698,12825,13410,13429
"Saskatoon, Saskatchewan","Total, all violations [0] ",Cleared by charge,12270,12457,11781,12302,12314
"Saskatoon, Saskatchewan","Total, all violations [0] ",Cleared otherwise,1528,1241,1044,1108,1115
"Saskatoon, Saskatchewan","Total, all violations [0] ","Total, persons charged (23)",12381,12402,11810,12476,12267
"Saskatoon, Saskatchewan","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",5178.06,5004.06,4623.88,4768.29,4611.27
"Saskatoon, Saskatchewan","Total, all violations [0] ","Total, adult charged",9950,10419,10097,10534,10759
"Saskatoon, Saskatchewan","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",4543.01,4578.29,4292.91,4364.91,4378.83
"Saskatoon, Saskatchewan","Total, all violations [0] ","Total, youth charged (39,40)",2431,1983,1713,1942,1508
"Saskatoon, Saskatchewan","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",12102.35,9785.34,8475.58,9561.32,7422.36
"Saskatoon, Saskatchewan","Total, all violations [0] ","Total, youth not charged (39,40)",831,599,449,434,454
"Saskatoon, Saskatchewan","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4137.00,2955.84,2221.56,2136.77,2234.58
Alberta,"Total, all violations [0] ",Actual incidents,317298,318356,318310,328090,367521
Alberta,"Total, all violations [0] ","Rate per 100,000 population",8371.56,8187.01,7942.37,7961.62,8757.89
Alberta,"Total, all violations [0] ",Percentage change in rate (22),-7.73,-2.20,-2.99,0.24,10.00
Alberta,"Total, all violations [0] ",Total cleared,162349,158922,154670,157133,159546
Alberta,"Total, all violations [0] ",Cleared by charge,99098,98781,97417,101772,105603
Alberta,"Total, all violations [0] ",Cleared otherwise,63251,60141,57253,55361,53943
Alberta,"Total, all violations [0] ","Total, persons charged (23)",92484,91892,90384,93187,96185
Alberta,"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2862.40,2773.65,2648.31,2657.72,2699.27
Alberta,"Total, all violations [0] ","Total, adult charged",82568,82627,82121,85503,89034
Alberta,"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2799.12,2724.64,2621.19,2649.44,2711.92
Alberta,"Total, all violations [0] ","Total, youth charged (39,40)",9916,9265,8263,7684,7151
Alberta,"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3526.15,3303.57,2951.83,2753.51,2551.16
Alberta,"Total, all violations [0] ","Total, youth not charged (39,40)",11787,11063,9358,8277,7825
Alberta,"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4191.48,3944.68,3343.00,2966.01,2791.61
"Calgary, Alberta","Total, all violations [0] ",Actual incidents,64480,62602,63872,64823,81058
"Calgary, Alberta","Total, all violations [0] ","Rate per 100,000 population",5085.17,4780.00,4669.19,4585.10,5607.53
"Calgary, Alberta","Total, all violations [0] ",Percentage change in rate (22),-7.13,-6.00,-2.32,-1.80,22.30
"Calgary, Alberta","Total, all violations [0] ",Total cleared,26240,24333,23147,24222,24446
"Calgary, Alberta","Total, all violations [0] ",Cleared by charge,19602,18486,17439,17938,18302
"Calgary, Alberta","Total, all violations [0] ",Cleared otherwise,6638,5847,5708,6284,6144
"Calgary, Alberta","Total, all violations [0] ","Total, persons charged (23)",17922,16608,16059,16333,17145
"Calgary, Alberta","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1652.39,1482.93,1373.17,1351.85,1389.95
"Calgary, Alberta","Total, all violations [0] ","Total, adult charged",16061,14970,14721,14980,15973
"Calgary, Alberta","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1613.95,1453.61,1365.50,1341.68,1400.10
"Calgary, Alberta","Total, all violations [0] ","Total, youth charged (39,40)",1861,1638,1338,1353,1172
"Calgary, Alberta","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2079.89,1818.06,1463.54,1475.70,1265.03
"Calgary, Alberta","Total, all violations [0] ","Total, youth not charged (39,40)",1806,1535,1304,1334,1287
"Calgary, Alberta","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2018.42,1703.74,1426.35,1454.98,1389.16
"Edmonton, Alberta","Total, all violations [0] ",Actual incidents,92489,92334,96080,99731,112746
"Edmonton, Alberta","Total, all violations [0] ","Rate per 100,000 population",7627.90,7411.77,7457.44,7491.74,8287.98
"Edmonton, Alberta","Total, all violations [0] ",Percentage change in rate (22),-11.46,-2.83,0.62,0.46,10.63
"Edmonton, Alberta","Total, all violations [0] ",Total cleared,46177,46020,46728,48787,52717
"Edmonton, Alberta","Total, all violations [0] ",Cleared by charge,35868,36406,37695,40223,43880
"Edmonton, Alberta","Total, all violations [0] ",Cleared otherwise,10309,9614,9033,8564,8837
"Edmonton, Alberta","Total, all violations [0] ","Total, persons charged (23)",31147,31732,32404,34020,36443
"Edmonton, Alberta","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2980.42,2956.94,2921.08,2970.90,3121.15
"Edmonton, Alberta","Total, all violations [0] ","Total, adult charged",27863,28480,29230,31175,33484
"Edmonton, Alberta","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2903.92,2882.00,2852.86,2939.66,3093.52
"Edmonton, Alberta","Total, all violations [0] ","Total, youth charged (39,40)",3284,3252,3174,2845,2959
"Edmonton, Alberta","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3838.33,3828.81,3746.11,3362.41,3471.95
"Edmonton, Alberta","Total, all violations [0] ","Total, youth not charged (39,40)",2859,2593,2394,1824,1909
"Edmonton, Alberta","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3341.59,3052.92,2825.51,2155.72,2239.93
"British Columbia (28,41,49)","Total, all violations [0] ",Actual incidents,418763,411975,391767,399707,412078
"British Columbia (28,41,49)","Total, all violations [0] ","Rate per 100,000 population",9307.63,9069.19,8549.00,8617.32,8799.18
"British Columbia (28,41,49)","Total, all violations [0] ",Percentage change in rate (22),-5.16,-2.56,-5.74,0.80,2.11
"British Columbia (28,41,49)","Total, all violations [0] ",Total cleared,154026,146205,141955,132880,130226
"British Columbia (28,41,49)","Total, all violations [0] ",Cleared by charge,74807,73240,69148,66038,68969
"British Columbia (28,41,49)","Total, all violations [0] ",Cleared otherwise,79219,72965,72807,66842,61257
"British Columbia (28,41,49)","Total, all violations [0] ","Total, persons charged (23)",75983,73158,68850,65555,68131
"British Columbia (28,41,49)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1916.78,1825.56,1701.62,1599.51,1645.77
"British Columbia (28,41,49)","Total, all violations [0] ","Total, adult charged",70264,68034,64430,61988,64504
"British Columbia (28,41,49)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1925.67,1840.06,1721.32,1630.81,1677.68
"British Columbia (28,41,49)","Total, all violations [0] ","Total, youth charged (39,40)",5719,5124,4420,3567,3627
"British Columbia (28,41,49)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1813.91,1652.63,1458.25,1199.53,1229.81
"British Columbia (28,41,49)","Total, all violations [0] ","Total, youth not charged (39,40)",12999,12116,10318,8632,7409
"British Columbia (28,41,49)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4122.94,3907.74,3404.13,2902.81,2512.17
"Kelowna, British Columbia (8,28)","Total, all violations [0] ",Actual incidents,18042,19020,16972,17254,18593
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Rate per 100,000 population",9884.46,10301.96,9093.05,9082.20,9484.97
"Kelowna, British Columbia (8,28)","Total, all violations [0] ",Percentage change in rate (22),-8.27,4.22,-11.73,-0.12,4.43
"Kelowna, British Columbia (8,28)","Total, all violations [0] ",Total cleared,8146,7469,7557,7838,7355
"Kelowna, British Columbia (8,28)","Total, all violations [0] ",Cleared by charge,3653,3096,3483,3420,3328
"Kelowna, British Columbia (8,28)","Total, all violations [0] ",Cleared otherwise,4493,4373,4074,4418,4027
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Total, persons charged (23)",3788,3177,3534,3460,3203
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2338.33,1935.51,2127.60,2045.17,1833.42
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Total, adult charged",3575,2991,3300,3235,3051
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2392.34,1969.15,2140.26,2054.31,1873.57
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Total, youth charged (39,40)",213,186,234,225,152
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1695.72,1518.37,1963.75,1922.26,1281.94
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Total, youth not charged (39,40)",652,589,541,471,418
"Kelowna, British Columbia (8,28)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",5190.67,4808.16,4540.11,4023.92,3525.34
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ",Actual incidents,13405,12583,12302,12888,14818
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Rate per 100,000 population",7698.01,7141.03,6912.67,7141.47,8037.88
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ",Percentage change in rate (22),-9.63,-7.24,-3.20,3.31,12.55
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ",Total cleared,4327,3930,3815,3735,3768
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ",Cleared by charge,2379,2298,2200,2207,2455
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ",Cleared otherwise,1948,1632,1615,1528,1313
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Total, persons charged (23)",2460,2364,2241,2182,2436
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1658.51,1573.19,1475.44,1415.50,1546.02
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Total, adult charged",2267,2209,2127,2069,2228
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1690.68,1622.24,1540.28,1472.73,1549.46
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Total, youth charged (39,40)",193,155,114,113,208
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1355.53,1099.45,826.39,826.99,1510.09
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Total, youth not charged (39,40)",333,343,227,186,186
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2338.81,2432.97,1645.52,1361.24,1350.37
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ",Actual incidents,195258,192890,188570,202363,204827
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Rate per 100,000 population",8225.96,8007.72,7730.22,8171.58,8176.62
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ",Percentage change in rate (22),-4.47,-2.65,-3.47,5.71,0.06
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ",Total cleared,58567,54451,54698,49976,46849
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ",Cleared by charge,30315,28649,27261,26244,27020
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ",Cleared otherwise,28252,25802,27437,23732,19829
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Total, persons charged (23)",30417,28247,26801,25770,26446
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1453.12,1327.53,1242.03,1174.95,1191.02
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Total, adult charged",28278,26471,25290,24566,25259
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1466.50,1347.56,1266.30,1206.99,1224.26
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Total, youth charged (39,40)",2139,1776,1511,1204,1187
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1296.73,1086.78,940.33,762.14,754.89
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Total, youth not charged (39,40)",4917,4531,3899,3222,2504
"Vancouver, British Columbia (12,13,14,28,59)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2980.85,2772.64,2426.44,2039.54,1592.45
"Victoria, British Columbia (28,76)","Total, all violations [0] ",Actual incidents,26764,25140,22135,22881,24933
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Rate per 100,000 population",7591.59,7074.26,6185.33,6328.50,6826.73
"Victoria, British Columbia (28,76)","Total, all violations [0] ",Percentage change in rate (22),-14.39,-6.81,-12.57,2.31,7.87
"Victoria, British Columbia (28,76)","Total, all violations [0] ",Total cleared,10963,10040,9211,9090,8659
"Victoria, British Columbia (28,76)","Total, all violations [0] ",Cleared by charge,4958,5157,4692,4692,5155
"Victoria, British Columbia (28,76)","Total, all violations [0] ",Cleared otherwise,6005,4883,4519,4398,3504
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Total, persons charged (23)",5075,5198,4725,4718,5208
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1602.48,1627.32,1468.93,1451.99,1587.11
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Total, adult charged",4599,4786,4375,4400,4963
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1555.82,1601.21,1450.21,1440.93,1607.39
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Total, youth charged (39,40)",476,412,350,318,245
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2256.24,2007.60,1751.66,1624.60,1263.99
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Total, youth not charged (39,40)",979,753,645,617,451
"Victoria, British Columbia (28,76)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4640.47,3669.23,3228.07,3152.14,2326.78
Yukon,"Total, all violations [0] ",Actual incidents,7981,8191,9492,9731,9696
Yukon,"Total, all violations [0] ","Rate per 100,000 population",22543.92,22633.95,26056.16,26307.11,25905.74
Yukon,"Total, all violations [0] ",Percentage change in rate (22),-2.28,0.40,15.12,0.96,-1.53
Yukon,"Total, all violations [0] ",Total cleared,5258,5039,6034,6048,6026
Yukon,"Total, all violations [0] ",Cleared by charge,1664,1615,1710,1582,1577
Yukon,"Total, all violations [0] ",Cleared otherwise,3594,3424,4324,4466,4449
Yukon,"Total, all violations [0] ","Total, persons charged (23)",1629,1600,1710,1525,1507
Yukon,"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",5310.34,5104.81,5421.86,4768.16,4670.70
Yukon,"Total, all violations [0] ","Total, adult charged",1507,1454,1563,1390,1358
Yukon,"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",5351.18,5045.63,5378.34,4712.34,4556.44
Yukon,"Total, all violations [0] ","Total, youth charged (39,40)",122,146,147,135,149
Yukon,"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",4852.82,5779.89,5932.20,5430.41,6054.45
Yukon,"Total, all violations [0] ","Total, youth not charged (39,40)",404,340,438,492,647
Yukon,"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",16070.01,13460.02,17675.54,19790.83,26290.13
Northwest Territories (15),"Total, all violations [0] ",Actual incidents,22751,22367,21252,20476,20784
Northwest Territories (15),"Total, all violations [0] ","Rate per 100,000 population",52299.95,51244.04,48427.67,46557.53,47142.08
Northwest Territories (15),"Total, all violations [0] ",Percentage change in rate (22),1.39,-2.02,-5.50,-3.86,1.26
Northwest Territories (15),"Total, all violations [0] ",Total cleared,16710,15742,14964,14206,14052
Northwest Territories (15),"Total, all violations [0] ",Cleared by charge,3571,2867,2735,2595,2717
Northwest Territories (15),"Total, all violations [0] ",Cleared otherwise,13139,12875,12229,11611,11335
Northwest Territories (15),"Total, all violations [0] ","Total, persons charged (23)",3386,2800,2603,2462,2626
Northwest Territories (15),"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",9389.38,7762.47,7189.81,6801.29,7255.95
Northwest Territories (15),"Total, all violations [0] ","Total, adult charged",3027,2539,2367,2273,2459
Northwest Territories (15),"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",9397.12,7821.45,7223.07,6883.08,7411.76
Northwest Territories (15),"Total, all violations [0] ","Total, youth charged (39,40)",359,261,236,189,167
Northwest Territories (15),"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",9324.68,7231.92,6872.45,5950.88,5540.81
Northwest Territories (15),"Total, all violations [0] ","Total, youth not charged (39,40)",1164,1083,823,784,660
Northwest Territories (15),"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",30233.77,30008.31,23966.22,24685.14,21897.81
Nunavut (15),"Total, all violations [0] ",Actual incidents,13488,14079,12271,11768,12555
Nunavut (15),"Total, all violations [0] ","Rate per 100,000 population",39443.21,40539.61,34629.60,32613.70,34006.88
Nunavut (15),"Total, all violations [0] ",Percentage change in rate (22),-3.86,2.78,-14.58,-5.82,4.27
Nunavut (15),"Total, all violations [0] ",Total cleared,11170,11220,9837,9290,9834
Nunavut (15),"Total, all violations [0] ",Cleared by charge,2886,3059,2806,2384,2234
Nunavut (15),"Total, all violations [0] ",Cleared otherwise,8284,8161,7031,6906,7600
Nunavut (15),"Total, all violations [0] ","Total, persons charged (23)",2654,2750,2519,2166,2034
Nunavut (15),"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",10496.76,10692.07,9595.46,8114.49,7429.59
Nunavut (15),"Total, all violations [0] ","Total, adult charged",2396,2481,2268,1999,1877
Nunavut (15),"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",11207.26,11339.64,10108.30,8707.96,7960.81
Nunavut (15),"Total, all violations [0] ","Total, youth charged (39,40)",258,269,251,167,157
Nunavut (15),"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",6606.91,7003.38,6579.29,4468.83,4132.67
Nunavut (15),"Total, all violations [0] ","Total, youth not charged (39,40)",803,729,715,717,710
Nunavut (15),"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",20563.38,18979.43,18741.81,19186.51,18689.13
Footnotes:
1,"For the period from 1998 to 2015 Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents."
2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services."
3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data."
4,"Part of the 2007 increase in crime in St. John's, Newfoundland and Labrador and Saint John, New Brunswick can be attributed to changes in police reporting practices rather than actual increases in criminal activity."
5,The census metropolitan area (CMA) of Saguenay was formerly known as Chicoutimi-Jonquière.
6,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.
7,"During the revision of 2001 data for the province of Ontario, a discrepancy in methodology applied by the forces in the province using the Ontario Municipal and Provincial Police Automated Co-operative (OMPPAC) system was detected. These forces report approximately one-third of the total criminal incidents for the province and include the Ontario Provincial Police and about 60 small and mid-sized municipal forces. This discrepancy resulted in an over-count of less serious criminal incidents. During 2003 and 2004, the Canadian Centre for Justice Statistics (CCJS) consulted with affected police services and analyzed both historical Aggregate Uniform Crime Reporting Survey (UCR) data and more recent Incident-based Uniform Crime Reporting Survey (UCR2) microdata to determine the impact of this over-reporting. The effect at the Canada level was, on average, 1% per year from 1977 to 2000. This over-counting peaked in 1991, where it was estimated that the total crime rate for the country was over-estimated by approximately 1.8%. However, the overall historical trend changed very little. The impact in Ontario is more noticeable, but the overall trend is still very similar. On average, the effect was 2% to 3% per year, with the biggest change occurring in 1991, where the Ontario crime rate is 5% lower as a result of the adjustment. For further information, refer to the report:<A HREF=""http://www.statcan.gc.ca/imdb-bmdi/document/3302_D13_T9_V1-eng.pdf"">Summary of Historical Adjustments to Crime Data for Ontario 1977-2000</A>."
